summary,rating,Topic
SDE -- There are better places to work,0,2
Needs improvement,0,3
"Good work experience, Bad Management",0,2
A great company for the right people,1,3
Seasonal associate,1,3
Investigations Specialist,1,3
It's a Jon,1,0
Packing,1,0
Nice place,1,2
Great!,1,3
Ugh,0,0
Job BLOWS,0,1
"Wonderful, if you know what you're in for.",1,1
Great Place,1,3
amazon review,1,1
Fine place to start out,1,2
"PS, PA",0,2
Good place to hone your skils,1,2
Words of advice from a 10+ year employee,1,2
Great company to work with!,1,3
"Not bad, a lot of great qualities.",1,3
Amazon,0,1
Vendor Manager,1,0
Receive,1,1
It is definitely a source of income,1,2
"PS, PA",0,2
Decent employer beware of politics,1,1
This is an excellent place to work,1,2
Great place,1,3
Packer,0,0
Amazon review,1,1
Warehouse Associate,1,3
Area Manager - Sort Center,1,0
Operations Team Leader,1,1
Amazing place to work,1,2
Sourcing Specialist,1,2
Amazing Amazon,1,2
picker,1,1
Buying,1,2
Quality Assurance Engineer 2,1,2
Amazon IQ Associate,1,1
Great place,1,3
Excellent Training ground,1,0
ocqa ambassdor,1,0
One of the best work at home positions,1,2
order picker,1,1
Operations Team Lead,1,3
Green Badge,1,2
Stower,1,0
Retail Vendor Manager II,1,0
Amazon,1,1
awesome company,1,0
awesome company,1,0
Human Resources,0,0
Senior Manager,0,2
Transformational career experience - Amazon Web Services,1,2
Terrible empoloyer,0,2
Decent job,1,0
picking,1,3
Warehouse Associate,1,3
Great place to work!,1,3
Risk Investigator,1,3
Pros = Cons,0,0
Learn a lot...,0,3
"Lots of politics, no work-life balance, lots of opportunity",0,3
Warehouse Associate (Case Receive),1,3
short title,1,0
Challenging Workplace,1,2
Design at Amazon,0,0
Challenging.. absolutely challenging.,1,3
"Well run, extremely talented leadership, crazy work hours",1,3
Best in the biz,1,2
Outbound Shipping Clerk,0,1
warehouse associate,0,3
It's Up to You,0,0
Don't go Data Center or Networking,0,0
Associate,1,3
fufillment associate,1,0
"Pays great, Depending on your team you will love or hate",1,1
Packing,0,0
A little like High School.,0,0
sde1,1,3
Picker packer,1,0
VCC-Work From Home Customer Service Associate,1,3
Hardware Engineer,1,1
Potential buried by,0,0
Be prepared,1,3
great way to make money and lose weight as a picker,1,1
Virtual Customer Service,0,1
work you to death,0,3
Amazon,1,1
Good enough,1,2
Amazon,1,1
SDE Intern,1,2
Fast paced and fun,1,3
Great Interview,1,0
Package sorter,1,3
Sweatshop,0,0
Tier 3 Associate,0,0
Finance Manager,1,0
hostile work environment,0,3
warehouse work,0,3
Amazon does not care about its managers,0,1
Great but intense place to work,1,3
ehhh,1,1
Great at cloud computing,1,1
IT- Equipment Coordinator/ Warehouse,1,3
Great Part Time Work,1,2
Good Opportunities,1,3
Business Analyst intern,1,3
Amazon,1,1
I could learn a lot,1,3
Picker,0,1
Software Dev manager,1,2
No Balance amongst the Chaos,0,3
Management was very unorganized.,0,1
Sucky management,0,0
Personal Life vs. Work Life,0,3
Technical Program Manager,0,2
AWS Sales,0,2
Employee,1,0
Great Company to Work for,1,3
AFE Associate,1,0
Lacks benefit as part time,1,2
Fulfillment Associate,1,3
Process assistant,1,3
VCC Representative,1,0
Fullfillment Associate,1,1
Amazon Fulfillment center,1,0
Glad I no longer work there.,0,0
Good place to start your career!,1,2
Work at home CSA,1,3
Shift Assistant,1,3
Picker,0,1
SDE2,1,1
Not fun,0,3
Rewarding but not for everyone,1,3
Logistics Manager,1,0
Independent Contractor...Plenty of work...Ok Pay,1,1
Manager,1,2
3rd Party Book Selling,1,0
Terrible Place to Work if you have a family.,0,2
Working for Amazon Operations has been a highly rewarding experience and this career has been like no other.,1,2
Packer,1,0
Disappointed & Worried,0,0
Not what I expected,0,0
Company with a lot of opportunities,1,3
Sfa,1,2
Data Engineer II,1,0
Run!,0,2
Building the future one customer at a time,1,2
Great place to work and Awesome team of Techs!!,1,0
Not bad,1,3
Great Company,1,3
pros outweigh the cons - satisfied overall,1,0
SDE,1,2
Great company!,1,3
Extremely physical.,1,3
Decent entry level job,1,1
Fulfillment associate,1,3
Fulfillment Associate / Process Guide,1,3
TPM,1,0
Procurement Category Manager,1,2
Warehouse Associate,1,3
Very cool company,1,3
Work hard and you will be rewarded,1,1
Pros and Cons of Amazon,0,0
Everyone I met was unhappy,0,1
Good for the resume building material,1,2
Inbound Stow,1,1
"Customer Obsession, Innovation, Ownership, and Talent Development",1,1
Fulfillment Associate,1,3
Solid Work,1,3
Great place to work!,1,3
Happiest I've been,1,1
Make History,1,2
Not a Problem,1,1
This is the best company that I have worked for!,1,2
Amazon fulfillment associate,0,3
working at amazon,1,0
"Extremely high turnover, incompetence, lack of accountability, silos",0,0
Tttttt,1,0
Tttttt,1,0
OKay,1,3
CN Area,1,0
Typical Tech Company with Atypical Customer Focus,1,3
Awesome Company To Grow,1,1
"Big dreams sold, but little returned",0,0
Mixed Bag,1,0
"For most associates, the position of general warehouse worker is a transitional job.",0,2
associate,1,3
Best to stay away,1,1
Brand Specialist,1,3
You get treated like a pack mule and advancing is nearly impossible.,0,0
Fast moving large company with great engineering culture,1,3
good company.,1,2
ICQA Tier 3,1,3
Be a cog in the wheel,0,0
Great Place to Have an Impact,1,2
Seventeen years and counting,1,1
Experience of a long time Amazonian,1,2
associate,1,3
Experience of a long time Amazonian,1,2
Technical Program Manager,1,2
Associate,1,3
The Good and The Bad,1,3
Good place to have on your resume,0,1
Area Manager,1,0
Financial Analyst,1,3
Amazon.com SDEs,1,0
Fast Paced Environment,1,3
Good,1,2
Life in the jungle!,1,2
HR Manager,1,0
Just OK,1,0
Sr HRA,1,0
Current Employee,1,0
Fulfillment Associate,1,3
SDE Intern,1,2
warehouse assoc,1,3
Painful,0,3
Channel Marketing Manager,1,2
Amazon,1,1
amazon,1,1
Technical Program Manager,1,2
Great customer centric place,1,1
Love My Job!,1,1
Amazon Sort Center Ambassador,1,3
Field Sales Rep,1,0
Stay away,0,1
amazon,1,1
Recruiter,0,2
Stressful,0,0
Packer,0,0
Sr.HRA,1,0
Overall review,1,2
Problem Solve,1,1
Amazon,1,1
Fulfillment Associate with aspirations for more,1,3
Disappointing,0,3
Amazon Fulfillment Associate,1,3
Line Worker,1,1
My experience,1,2
Can be great if you're in the right team in the right moment,1,1
It was an ok job,1,1
Decent part-time job for those with few obligations.,1,0
Amazon fulfillment,1,3
SDE,1,2
Awesome company,1,0
Amazon PA,1,0
logistic,1,0
Good place to work at if you're on a right team,1,1
Okay,1,3
Technical Recruiter,1,2
Investigator Intern,1,3
Crappie,0,1
Amazon,1,1
Fun but hardwork,1,1
software,1,1
Not Bad for Tech,1,1
Its not what it seems.,0,0
Horrible Management,0,3
Packing,1,0
Software Development Engineer II,1,1
TPM,1,0
Business Intelligence Engineer,1,0
seasonal worker,1,0
Area Manager,0,0
Picker,1,1
Good training place,1,0
Disruptive company... for all the wrong reasons!,0,0
"Great Company, Broken Building",0,2
Fulfillment associate,0,3
Campus Associate,1,0
Wonderful place to work,1,2
Ship Dock Associate,1,0
It sucks,0,2
Good place to work if you're in a good team,1,2
reciever,1,0
Product Mgmt,1,2
picker,0,1
Warehousr associate review,0,1
RLDP,1,0
Hard at Work,1,1
At Home Customer Service (Reserves),1,1
Real Impact with Smart and Fun People,1,2
Lots of fun and very rewarding.,1,3
Great Place to Work!,1,3
it's ok,1,1
RSR PG Ambassador,1,0
Great place to work,1,3
Solid Job with possible career opportunities.,1,2
Fulfillment Center,0,0
good job,1,1
TL,1,2
Be clear about your long term goals and desires,1,0
"Stressful, manipulate, hard work.",0,1
At Home Customer Service (Reserves),1,1
Mr.,0,2
lead fulfillment,1,3
Recruiter,1,2
Exciting Place to Work,1,1
Amazon great company to work for if you are willing to work hard.,1,2
"Amazon is not worth the name, it has personally almost caused me a PTSD",0,1
Grow at Amazon,1,1
Software Development Engineer,1,1
Nice place to study new technologies,1,1
amazon seller support,1,1
Working for amazon,1,0
Warehouse Review ( Tracy CA ) Associate Tier 1,1,0
warehouse worker,1,0
"Manage yourself, while limited by your managers",0,3
Role,1,1
Take the job,1,1
Amazing experience if you can handle the grind,1,0
Decent Place to work if you're a match to what they need,1,2
Software Engineer,1,1
Picker,1,1
Middle level management is poor,0,0
Good temporary job,1,1
College hire,1,1
Picker,1,1
"Great career opportunities, if you have a good manager",1,2
Amazing Development Opportunity,1,3
Fullilment Associate,1,3
Amazon,1,1
Need longer breaks and lunches.,1,0
Not that bad,1,3
good,1,2
Great place to work,1,3
It's easy but not for everyone...,1,1
Amazon Associate,1,3
your worse nightmare,0,1
Fast Pace,1,2
Associate,1,3
Long Hours,1,2
Fast....,1,3
Good,1,2
Process Assistant,1,3
FC associate,1,3
CQ-OPS,1,0
Stow It Amazon!,0,1
Worst job I EVER had,0,1
Engineering at Amazon,1,1
Software Development Manager in AWS,1,2
Amazon Phl7,1,3
Amazon,1,1
Process Guild,1,3
Shipping,1,1
Amazon Fulfillment Center,1,0
Challenging and Rewarding,1,3
nice place to work,1,2
Stow,0,1
Not for the working new parent,0,1
Warehouse Associate,1,3
Amazon,1,1
risk investigation,1,0
Great Place for the Right Personality,1,1
I was a shift leader customer service rep,1,1
Great Place,1,3
"Awesome, but it depends on your team.",1,3
"Fast paced, never boring",1,3
Stow/picker,0,1
Picker,1,1
Great Place to Grow,1,1
Fulfillment Area Manager,1,0
"Work Hard, Have Fun, Make History",1,1
Great Company,1,3
Rethink before signing up,0,2
Expect nothing but the best,1,1
"Work Hard, Have Fun, Make History!",1,1
Pros / Cons,1,0
Good place to start,1,2
"EWR4 location in Mercer County, NJ",1,1
Great place to work but difficult to get promoted,1,2
"Fast Paced, Quick Living",1,1
You'll lose weight AKA Not for those with a heart condition.,1,1
assembly,1,0
Amazon,1,1
Good experience,1,2
Fun at Amazon,1,3
Worker Bee,1,0
amazon,1,1
SDE,1,2
Icqa,0,3
IT manager,1,2
Finance,0,0
retail rep,0,0
High burn out rate,0,0
Call Center / Stressfull!,0,1
Great place for competitive optimists,1,3
Material handler,1,3
Working for Amazon Web Services,1,1
Average,1,1
Bad job,0,3
Good,1,2
Run for cover,0,0
Good or bad depending on your team,1,2
Great internship,1,3
Awesome,1,0
Overall Pretty good,1,2
Brand Ambassador,1,3
Amazon,1,1
fulfillment associate,1,3
AMAZON!,1,1
warehouse associate,1,3
Processor,1,0
Amazon Flex Driver-Dont believe the hype,0,0
Associate,0,3
Recruiting coordinator,1,0
Team Associate,1,1
Good,1,2
Good place to get a footing into the industry,1,2
Fulfillment Center,1,0
At your own risk,0,3
Seasonal PIT driver,1,0
Awsome learning experience,1,2
poor,0,0
Amazon,1,1
Good place to work if you need a job that pays well,1,1
highly recommend,1,2
Great Job,1,1
Technical Sourcing Recruiter,1,2
Nice place to work,1,2
Amazon is a good place,1,2
Average,1,1
Coworkers are amazing,1,3
Ok job,0,1
Warehouse Associate,0,3
Sr. Product Manager,1,2
PA,1,0
It is easier to quit then apply for a position than to get hired on internally,1,2
Makes a good temporary job,1,1
Area Manager Level V,1,1
SDE II,1,0
Software developer Current employee,1,0
Love Amazon!,1,1
Change culture,0,3
AWS Business Development,1,2
Vendor Manager,1,0
Amazon life,1,3
Fulfillment Associate,1,3
Packer,1,0
starter job,0,3
Worst. Job. Ever.,0,1
Outstanding experience in customer service,1,1
Only if you really Need a Job,0,0
PA Review,1,0
"Easy work, common sense",1,0
seller support,1,2
Brand Ambassador,1,3
seller support,1,2
Brand Ambassador,1,3
The largest online retailer!,0,2
Happy to have had this temporary job,1,1
Amazon Life,1,3
BIE at Amazon,1,1
Operations Team Leader,1,1
Great Company,1,3
Heavy Turn over rate during Peak Season,1,3
"Rarely boring, fairly challenging.",1,3
Awesome place,1,0
"Amazon has been the most fulfilling job I have ever had, the only place where you can literally be yourself.",1,3
"Good atmosphere, smart people",1,2
Investigations Specialist,1,3
Amazon Associate,1,3
Human Resources Intern,1,0
Amazon VM,1,1
Warehouse Associate,0,3
Seasonal fulfillment associate,1,3
warehouse associate,1,3
"Good place to work, low pay",1,3
Warehouse,1,3
For the ambitious,1,2
"Strong overall, could use more management support",1,0
My Job!,1,1
solid company,1,3
Seasonal Customer Service VCC,1,1
Great,1,3
"Warehouse associate, problem solver",1,1
"Great learning, little progression",1,0
Warehouse Associate,1,3
Fulfillment Associate - BWI5,1,3
lots of hard work,1,3
Horrible,0,3
Not recommended for any one!,0,0
"Strategic Account Executive, Amazon Media Group",1,2
Fulfillment Associate,1,3
Nice place to work.,1,2
amazon,1,1
Amazon Fulfillment,1,3
The NY Time Article is True,1,0
Customer Obsession,1,1
Warehouse,1,3
Largest Operations Company,0,1
SHR,1,0
You can't deny the evidence,0,2
A non-stimulating in-between job.,0,1
Transship Lead,1,3
Amazon Area Manager,1,0
Overall great company,1,2
fc associate review,1,3
Software Engineer,1,1
More work for less number of people,1,0
Great place to work if management works out the kinks.,1,0
Many good and great attributes many severely bad management practices,1,0
Working for amazon,1,0
SDE,1,2
employee,1,0
Tier 1 Fulfillment Associate,1,3
Technical Recruiter,1,2
Software Engineering Internship,1,1
Working with the best,1,0
Great!,1,3
Great place to work if you have a good direct manager,1,2
Good experience as a contractor,1,1
Brand Specialist,1,3
A World Connected by e-Commerce and Logistics,1,0
SDE,1,2
Marketing manager,0,2
Great Company to work for,1,3
Fun at the beginning....,1,1
Compensation,1,2
Physical Job,1,3
Sort Center,1,3
good place to work,1,2
recruiter,1,2
Good place if you are willing to learn and do work at a fast pace,0,2
Great learning potential,1,0
"Good compensation , less dev work , more operational work",1,2
Low retention rate,1,3
Temp associate buyer,1,0
Fulfillment Associate,1,3
"Rough job, good company",1,0
"Moving in the right direction, still work to be done",1,3
Shift Manager,1,3
TRAINING & TEAM LEADER,1,1
Quality Assurance Engineer,1,2
Warehouse Associate,1,3
Amazon,1,1
Amazon,1,1
"So many exciting things to do, but a bit of a burn",1,0
brand ambassador,1,3
Amazon Fulfillment Center - Stow,1,1
Receiver,1,0
No Backbone,1,3
Customer Service Associate,1,1
Web Developer,1,1
Hmm,1,2
Happy part timer,1,2
Trainer,0,2
"Overall, an amazing place to learn",1,2
Extremely beneficial and rewarding.,1,3
AWS is fast-paced and a great experience,1,3
Pick and Stow Associate,1,0
Integrity Staffing,1,0
chance,1,0
Transaction risk investigator,1,3
User Experience Design intern,1,0
Customer Service Associate,1,1
"Good intentions and people, although very disorganized (AWS)",0,2
Warehouse Attendant,1,3
Amazon Fullfilment,1,0
supervisior,0,1
Amazon Operations,1,2
This is wonderful!!,1,2
great work experience,1,2
"Tier 3, IT Tech",0,0
A real meat grinder of a job,0,1
Ops Admin,1,0
Associate,1,3
Associate,1,3
Amazing customer service,1,1
Fulfillment Associate (i.e warehouse worker),1,3
Revolving door of slaves,0,3
warehouses,1,3
No complaints,1,0
Out bound pick,0,0
Customer service manager,0,1
"Best workplace with interesting work, independence to work on your ideas and leadership skills that motivates you!",1,0
Great Job,1,1
typical amazon,1,3
Tier 3,1,0
Literally the worst place to work in America,0,3
It one of my best,1,2
Warehouse associate,1,3
Awesome!!,1,0
Operations,1,2
order picker,1,1
Distribution Center,1,3
Amazon,1,1
Good Money,0,1
Warehouse Associate,1,3
so so,1,0
over worked,1,1
housekeeping,1,0
Standing,1,3
Amazon,1,1
"Hate it, but it's paying my rent and bills",0,0
Fulfillment Center,0,0
Good company for learners,1,2
Good starting job,1,1
intern review,1,1
Struggle with the unstructured beauracacy,1,3
"bin picker,sorting item out of bin",1,1
Tier 1,1,0
Benefits could improve...,1,2
Intern experience at Amazon,1,1
okay place to work,1,3
Basic,1,3
Worst ever !!,0,1
ICQA,1,3
Great learning opportunity,1,3
Overall good experience,1,2
Fulfilled center,1,1
"Great place to work, better than you think",1,2
Ecommerce Director,1,3
Amazon,0,1
Working for Amazon Prime Now,1,2
Great place for students,1,1
Seasonal associate,1,3
"Good job, just alot of bs.",1,1
"Overall, a decent company",1,2
New Hire,1,1
Not thrilled,1,0
Good job,1,1
About Amazon,0,1
Warehouse Associate,1,3
Process Assistant,1,3
Crazy Town,0,2
Amazon not cool,0,3
The workaholic's dream-space,1,3
Sales Engineer at AWS,1,2
almost awesome,1,0
software development engineer I,1,1
Good company,1,2
Fulfillment Specialist,1,3
"Very fast paced, but you'll grow faster than anywhere else",1,3
Control System Specialist,0,2
Publisher,0,0
Analytically driven company,1,0
Fulfillment Associate,1,3
Learned a lot,1,3
Great Company,1,3
Good and bad,1,3
The life at Amazon,0,3
Great Company,1,3
analyst,1,3
Operations Administrator,1,0
Software Engineer,0,1
seasonal,1,3
Amazon is great,1,1
really depends on which team you are in,1,3
great start,1,2
The stories are true,1,2
Good for job experience,1,2
Okay for a seasonal VCC job,0,3
Area Manager,0,0
Don't take the Amazon stock options seriously,0,2
"Unhealthy environment, boring work",0,0
Great place to work,1,3
Picker,1,1
meh,1,0
Great Co,1,3
amazon fullfillment center,1,1
Regional Marketing Consultant,1,2
Good - Will work you hard,1,2
Really good labor job,1,0
logistic operation,1,0
Fulfillment Associate,1,3
Ambassador,0,3
services it worker,1,0
Stower,1,0
Packing,1,0
Great Company extraordinnaire,1,3
Awesome company,1,0
Operations Manager,1,2
Stower,1,0
Packer & Picking,1,3
First Review,1,1
Good overall company,1,2
Area Manager,1,0
Good overall company,1,2
Good for what it is,1,2
"Work life balance sucks, but work is good",1,3
SDE II,0,0
Amazon associate level 1,1,1
Data Entry and File Management/Supervisor,1,0
My experience has been fulfilling.,1,0
Good place to work,1,2
AWS / New product teams are great.,1,2
"a good temp. job, no career",0,1
customer service,1,1
Great Benefits,1,3
inhumane,0,0
Process Trainer,0,2
Not worth it!,0,3
Second class,0,0
You will learn a lot and love it if you can set boundaries,1,3
Well...I mean it's a warehouse so..,0,1
"overall is average on balance, but with great pluses and great minuses",1,3
hmmmmm,1,0
Overworked under paid,0,0
Needs improvement,0,3
Associate,0,3
No potential,0,0
UPS Hub Rep,1,2
Manager at Amazon,1,1
Good Place to Start,1,2
Great pay nice people horrible job!!!!,1,3
Stower/ Stock.,1,2
Warehouse Associate,1,3
"Keep you resume up to date, and keep looking.",0,2
MBA Pathways Operations (Area Manager),1,2
Order Picker,1,1
Developer Advocate,1,1
Process assistant,0,3
Operations Manager,1,2
Not for the meek,0,0
"If you're not coming in from tech, your mind will be blown",1,0
Picker,1,1
Packer,1,0
"Tough conditions, awesome learning experience",1,2
Investigation specialist,1,0
Amazon fullfillement,1,1
Try to get hired directly,1,2
Good Job,1,1
Great Job to get a Jump Start in the Industry,1,2
Tier III,1,1
Amazon,0,1
Great place to work,1,3
Drama lama warehouse,0,2
Software Engineer,1,1
Felt like high school,1,0
Process assistant,1,3
Becoming a research company.,1,0
Warehouse worker,1,0
Amazon Fulfillment,1,3
review,1,1
Worst month of working ever,0,0
process as,0,3
Scanner,1,3
Seasonal work,1,3
Amazing,1,2
Survival of the fittest!,1,0
seasonal Packer,1,0
great place to work,1,3
Fulfillment Associate,1,3
Orange Juice,0,1
Multiple startups within a large company,1,0
Production manufacting,0,3
Its not up its Hype up to be,0,0
Inbound receive,1,1
Amazon good and bad,0,3
Amazon work,1,1
"Nice team, a lot of work, fun and opportunities. Evaluation process can be improved",1,3
software development manager,1,1
Senior Support specialist,1,1
Customer Service,1,1
Processor,0,0
Green Badge CSR,0,0
Amazon,1,1
Easy Interview,1,0
Stow / Receiving,1,3
First work from home experience,1,3
Working at amazon,1,0
Amazon,1,1
Operations Manager,1,2
Good days and bad days,1,1
SDE at Amazon,1,2
First job out of college,1,1
sde,1,2
Great learning but not for everyone,1,2
very great,1,3
Amazon,1,1
Transperent and interesting selection procedure,1,3
Sales development representative,1,2
Manager,1,2
"Great Coworkers, Fun Environment",1,3
SDE for Consumer Website,1,1
Machine Learning Scientist,1,0
amazon,1,1
Rat race,1,1
It was ok,1,1
great job,1,1
Great learning experience,1,2
Full Time at Amazon,1,2
SDET II,0,0
Seasonal Work From Home Position,1,3
Worked as Freelancer,1,1
"Run Away... Far, Far Away",0,2
An excellent organization to work for with many opportunities to develop and expand ones knowledge.,1,2
Fulfilment associate,0,3
Awesome place,1,0
Challenging environment,1,3
Tasteless and classless,0,0
Amazon Does NOT Care About Employees,0,1
Picker,0,1
Area Manager,1,0
Review,1,1
easy but not,0,1
Reconsider,0,1
South Carolina warehouse associate,0,0
packer,0,0
Worlds worst employer,0,1
Demanding but awesome,1,1
Tough Culture,1,2
Not for everyone,1,0
inbound associate,1,1
review,1,1
Great Benefits but...,1,3
It was good,1,2
Ambassador - Amazon Sorting Center,1,3
Quality Work Environment,1,2
Fulfillment Center Associate,1,3
I love working at amazon,1,1
Horrendous,0,2
Dont do it,0,0
Software QA Engineer,1,1
Internship experience varies a lot depending on which team you work for,1,2
Do Not Work Here!,0,3
legal counsel,1,1
Sr. HRA,0,0
Decent job but dont see myself here for too long,1,0
company,1,3
Received,1,2
Senior Process Associate,1,3
FC Associate,1,3
Slave Labor,0,0
encourage new ideas,1,3
Superior,1,1
Onboarding,1,2
work,0,3
Brand Specialist,0,3
My location,1,3
Warehouse Associate,1,3
Seasonal hire,0,1
"Simple job, great benefits",1,1
"Exciting work, hash environment",0,1
Inbound Warehouse Associate/Problem Solver,1,1
Work for market leader,1,0
Issues in the Workplace,1,3
Review,1,1
Not a good fit,0,3
sw engr 2,0,1
The Wild West,1,0
Great environment to start your developer career,1,2
Great Company to Work For,1,3
associate,1,3
okay,1,3
Corporate Culture,1,2
Operations Manager,0,2
A year of bad days,0,1
Amazon Fulfillment,1,3
inbound,1,1
not bad min wage job,1,3
Customer Insights,1,1
Amazon IT Tech,1,1
Software Development Engineer I,1,1
Stocker,0,1
Horrible,0,3
Not a bad job,1,3
Exciting projects - Hard to Win,1,1
operations manager,1,2
Great place to grow,1,1
Home delivery in a flash! Enjoy the dissonance.,0,3
Stower,0,0
Recruiter,1,2
ICQA,0,3
Amazon Fullfillment Center,1,1
Sort center,1,3
great boot camp,1,1
Fun Atmosphere-Challenging Work,1,3
All good stuff,1,2
Not such a Equal Opportunity Employer anymore,0,0
ICQA,0,3
Software Development Manager,1,1
positive,1,3
Stay away!!,0,1
Amazon - Full-time Inbound Stow,0,1
Fast Paced culture,1,3
Fast Paced culture,1,3
Amazon Warehouse Employee,0,0
Amazing,1,2
does not care about correct statistical use,0,1
Glass Ceiling,0,1
Fulfillment Center,1,0
Amazon Fulfillment XD,1,1
Interning at Amazon,1,0
inbound stow,1,1
icqa,0,3
Data Analyst,1,0
If you like conflict then it is a great company,0,3
The Amazon truth,1,1
"Good experience, poor culture",1,2
Amazing Companyy,1,2
Difficult yet satisfying.,1,3
Finance,0,0
Fulfillment Associate,1,3
"Worked as a Stower, case'n'totes and docks.",1,1
Seasonal,1,3
Flex but no hours,0,0
Fulfillment Associate,1,3
"amazon pays a decent wage, but not your temp agency",1,1
Operations Leadership Intern,0,0
software engineer,1,1
Amazon Fulfillment center,1,0
Good company.,1,2
Weak Training,1,0
Picker,1,1
Loved it,0,2
Seasonal Inbound Stower,0,1
Amazon Review from a newbie,1,2
analyst,1,3
Retail-Process Associate,1,3
Turn & Run,0,0
Challenging but worth it,1,3
Amazon,1,1
They take care of you.,1,2
Fairness,0,2
Okay company lacks good culture,1,3
"Good work-life balance, great coworkers, but uninspiring tech culture in my org",1,3
Senior Development Manager,1,2
Amazon,1,1
"Great projects and great company, but beware: not all teams are equal",1,0
software development engineer,1,1
Software Development Engineer II,1,1
Wonderful Company,1,2
Good Company,1,2
Warehouse Associate,1,3
Customer service,1,1
Challenging but rewqarding experience,1,2
Get ready to move fast,1,0
Fulfillment Associate,0,3
Solid Company,1,3
Intern Review,1,1
Transaction risk investigator,1,3
Project Manager,1,0
Fulfillment Associate,0,3
Mediocre at best.,0,1
Nasty piece of work,0,0
Ambassador,1,3
Pretty Awesome Company,1,2
Opportunities to Be Challenged & Grow Professionally,1,3
Its ok,1,1
Warehouse,0,3
No complaints,1,0
Warehouse Associate,0,3
Great job,1,1
Talent Acquisition Leader,1,1
CSM,0,2
Seasonal Customer Service Rep,1,1
An inspiring place to work,1,0
Part time fulfillment associate,1,3
Inbound,1,1
Seasonal outbound packing,0,0
Pays decent,0,1
Great Perks- fun people and atmosphere,1,3
Bittersweet Experience,1,0
Good,1,2
Amazon,1,1
Fulfillment Assc.,1,0
Area Manager,1,0
fullfillment associate,1,1
Each team has it's own culture,1,1
vcc,1,0
Amazon Internship,1,3
Amazon FC,1,3
Operations manager,1,2
operation,0,2
Amazon,1,1
Software Engineer,1,1
A great place to work,1,3
"Hardware Test Engineer, Contract",0,1
good pay but hard work,1,3
"GREAT pay, BAD overall",1,3
It's highschool all over again,1,1
AMAZON,1,1
Worth the work,1,3
fullfillment center,0,1
Needs improvement,0,3
Amazing,1,2
It's Ok,0,1
Software Engineer,1,1
Good,1,2
Leader,1,1
Great experience,1,2
Software Development Engineer,1,1
software engineer,1,1
Punished for thinking outside the box at Stoughton Sort Center.,0,0
"Work hard, have no fun and make yourself history",0,1
Seasonal Employee-Terminated-Horrible Treatment,0,0
Warehouse Work,1,3
Highly depends on team placement,1,2
Software Engineer,1,1
Problem Solver,1,1
Overwork you a tad in the warehouse,1,3
Software Engineer,1,1
Sweat shop,0,1
Senior Content Specialist,1,0
Amazon,1,1
Area Msnager,1,0
A crap shoot for Heaven or Hell,0,1
Do Not Work Here,0,3
Incredible opportunity to learn and be curious,1,3
salary,1,1
Packer,1,0
Great Company,1,3
It's a humongous warehouse. They're all about safety. Hour ago by quickly because you always have work,1,0
Recruiting Business Partner,1,2
No Respect / No Understanding of Family,0,0
Program Management,1,2
Every Experience is Different,1,0
"Associate, Ship Dock",1,0
Big Learning Experience,1,2
Transaction Risk Investigator,1,3
Software Development Engineer Rat Race,1,1
Great Opportunity,1,3
intern,1,1
Good company bad management,1,3
Onsite Medical Representative,1,0
sde,1,2
SDE1,1,3
Politically charged environment.,0,3
oh,0,2
amazon,1,1
Review,1,1
Process Assistant,1,3
Betterplaces to work,0,2
Neglect.,0,1
SFA Program,1,2
problem solver,1,1
ICQA,1,3
Great challenges,1,1
Technical Recruiter,1,2
"Fulfillment Associate, Tier I",0,3
The worst.,0,1
Good Job,1,1
recieving,1,0
HR Business Partner,0,2
No Work Life Balance,1,3
No work life balance,1,3
Good pay bad hours,1,3
High Dollar High Stress,0,0
"Great experience, wouldn't want to be there long term.",1,2
Excellent company,1,2
Awesome,1,0
Seasonal Worker,1,0
Decent company to work for,1,0
Very hard but very rewarding workplace with exciting people!,1,1
Current Amazon Employee,1,0
Financial Analyst Intern,1,3
Area Manager,0,0
"Eh, it wasn't for me",0,0
virtual customer service agent,1,1
Fulfillment Associate,1,3
"Not bad, mediocre warehouse work",1,3
Amazon Seasonal Worker,1,0
From associate to manager,1,3
Great Benefits,1,3
Mixed experience,1,0
Program Manager,1,2
Not a great place to work.,0,3
bar-raiser,1,2
Product Manager,1,2
Personal Assistant Amazon ont 8,1,1
Operation Team,1,2
Warehouse associate,1,3
Amazon.com,1,0
Good,1,2
treat people fairly,1,1
Intern,1,1
Great Seasonal Work,1,3
Amazon Distribution employee AFE PACK,1,0
Intense High Pressure Environment,0,0
Good Technical Company,1,2
Amazon fulfillment associate,1,3
No work-life balance,1,3
N/a,1,0
Not terrible,1,2
Terrible place to work,0,2
Program Manager,1,2
Financial Analyst,1,3
work hard,1,1
"Work hard, have fun, make history",1,1
Unorganized,1,1
A place to not waste your time,1,2
PA,1,0
Love it,1,1
"Fathers, your baby HAS to be born 365 days after your joining date for you to take paid paternity leave benefit.",0,2
A job is a job,0,1
Terrible Company,0,2
"Expect to work hard, and expect to be rewarded for your hard work!",1,1
Fullfillment Associate,1,1
Senior SDE,0,2
It's a giant super warehouse,1,3
Amazon,1,1
"Great Atmosphere, competitive hourly rate, great benefits",1,3
Amazon,1,1
Great Company,1,3
great place to learn and be challenged,1,3
I survived,1,2
