review,rating,split
Picker,negative,train
Workforce MAnagement,negative,train
Great ,negative,train
Sr program manager,negative,train
SDE,positive,train
Consumer Services Advisor,negative,train
Only for hard workers,positive,train
Sales,negative,train
Cloud Infrastructure Analyst,positive,train
"Good place to work, the culture is an informal one.",negative,train
QA Engineer,negative,train
Good company to work for,positive,train
Problematic Retail Wage Structure,negative,train
Sales @ Microsoft,positive,train
Software Development Engineer Intern,positive,train
"i probably became a worse engineer while i was here, a better manager, and a much better bureaucrat",negative,train
Amazon Flex Driver-Dont believe the hype,negative,train
"Circa 2015: Some new paint, same old walls...",negative,train
Nice place to work,positive,train
Starting to Rot,negative,train
HORRIBLE,positive,train
Inspiring company to work for,positive,train
Amazon Review by Employee,positive,train
SDE Intern,positive,train
Inbound Dock,positive,train
Beware,negative,train
"Lots of operational load, no life-balance",negative,train
Sweatshop,negative,train
Sr. HRA,negative,train
Greetings place to work,positive,train
Warehouse hand,negative,train
Heart of the company is in the right place but the social politics of management can be counter-productive,positive,train
SDE Intern,negative,train
No Raise for Cross Training,negative,train
Glad I'm JUST an Amazon CUSTOMER again...,negative,train
Great company if you take advantage of what they offer,positive,train
Good work,positive,train
Work in Microsoft China,positive,train
Stow Department,negative,train
Terrible company to work for,negative,train
Not for the Faint hearted,negative,train
A Great Company,positive,train
Microsoft Review,negative,train
Software Development Engeener,positive,train
Specialist,positive,train
Customer Specialist,positive,train
meh,positive,train
chance,positive,train
Not what it used to be,negative,train
Great company!,positive,train
The most rewarding Retail job you will find.,positive,train
"As size has grown, so has the politics, who you know matters more than what you know",negative,train
Contract staff,negative,train
Good experience - Lots of people cuts and change,negative,train
CSA,negative,train
"Great Pay, Unenjoyable, Intolerable",negative,train
"Work Hard, No Fun, No History",negative,train
Decent. I would reccomend,positive,train
Great opportunity but mired in corporate politics.,negative,train
Druck!,negative,train
Great career opportunity with limited growth outside the store,positive,train
Its ok,negative,train
"Great place to work, but surpassingly VERY unorganised",negative,train
Seasonal Customer Service Associate,positive,train
Good pay but not challenging in the right way,positive,train
Everyone I met was unhappy,negative,train
Great place to work just needs some modifications,positive,train
really good range of incentives,positive,train
Great company,positive,train
Don't waste your time,negative,train
Cloud Sales Director,positive,train
Great,positive,train
"Great place to work, operations heavy",positive,train
Creative Director,positive,train
"If you want to do well, expect a sweatshop experience and sweatshop rewards",negative,train
"Stressful at times, rewarding at times and surrounded by really smart people.",positive,train
Work at Microsoft international team,positive,train
Operations Intern,positive,train
Life at Amazon,positive,train
Favortism runs rampant!!!,negative,train
Not the company it was a decade ago,negative,train
Great company!,positive,train
Cream rises to the top but left if with dissolve,positive,train
Amazon,negative,train
Microsoft,positive,train
Hard to keep a Job at amazon.com,negative,train
Director,positive,train
mediocre middle mgmt who are too scared to do the right thing for the company.,negative,train
Good place to utilize any skills that you may have,positive,train
Facilities Tech,negative,train
Warehouse job,negative,train
It has been a roller coaster but fun and exciting all at the same time.,positive,train
An incredibly fast paced environment that keeps you on your toes and always learning more.,positive,train
Amazon Fulfillment Warehouse,negative,train
Floor health,negative,train
"Job, yes. Career, no.",positive,train
Premier Field Engineer,negative,train
"Good Company, Good People, Not So Good eco-system",positive,train
At-home Advisor Hell,negative,train
Good short term job,negative,train
Innovative Team driven place to work,positive,train
Receive Stow,positive,train
Program Manager,positive,train
A fabulous place to work,positive,train
You get what you give,positive,train
Working in Amazon Fulfillment UK,positive,train
Challenging but rewarding,positive,train
"Nice people, low pay.",negative,train
Go if you have no aspirations for life and want to go to prison,negative,train
Good,positive,train
Genius,negative,train
Competitive Overall Package,positive,train
Sales Executive,positive,train
"Amazon is good for working, if surrounding environment is good.",negative,train
worst employment experience of my life,negative,train
"Great Ideas, Poor Management",negative,train
Creative,positive,train
Conglomerate,negative,train
Fulfillment associate,negative,train
Terrific place to work,positive,train
Summer Intern at Microsoft IT,positive,train
Order Picker Associate,positive,train
Warehouse associate,positive,train
Amazon - Great career growth opportunity if you can tolerate unique culture and tough work conditions.,negative,train
Great place to work if you love retail.,positive,train
Area Manager,positive,train
A lot of learning and opportunities for growth.,positive,train
Sr. Operations Manager,positive,train
Amazon Fresh,negative,train
Not the actual Microsoft,negative,train
Too bad glassdoor doesn't allow you to give 0-stars,negative,train
Developer,negative,train
Amazon Driver (over 2500 packages delivered),negative,train
Job at amazon,negative,train
It is still Day 1,positive,train
Not as great as people make it out to be,negative,train
Inbound,positive,train
Too many hands in the pot,negative,train
"SAT 2 - Fullment Center, San Marcos, TX",positive,train
Tier 2 support,negative,train
SDE,positive,train
Amazon Area Manager,negative,train
Good if you need quick money and a temporary job,negative,train
It's Google....,positive,train
Too much Politics,negative,train
Partner Development Manager,positive,train
bleh,negative,train
Google,positive,train
Worst Employer - Stay Away!!!,negative,train
Good hard-working place to work,positive,train
Warhouse,negative,train
Horrible,negative,train
Horrible Place to Work for,negative,train
"Mind-shaping, transformative, world-changing experiences working with the brightest on Earth.",positive,train
Volunteering at FB TechStart,positive,train
Area manager,positive,train
"If you work on hardware, then avoid this place at all cost.",negative,train
"Great place, lots of freedom, very transparent organization",positive,train
Be a cog,negative,train
Worst place I have ever worked for in life,negative,train
Seasonal Associate Review,negative,train
"Amazon TAM, work hard but get paid peanuts",negative,train
Worked to capacity,positive,train
Transship Lead,positive,train
Manager Operations role,negative,train
It's a mix.,negative,train
Angenehme Atmosphere,positive,train
Technical specialist,positive,train
A great place to work!,positive,train
Overall a mediocre experience,positive,train
Engineer Role,negative,train
Software Engineer,positive,train
Stuttering...,negative,train
"The company has a lot of assets to leverage, but so far behind in mobile that it is hard to see how they catch up.",negative,train
Brand Specialist: the perfect position to learn 360¡ã how to manage a business,positive,train
Picker,positive,train
as a software engineer for four years,negative,train
Amazon LLC,negative,train
Phenomenal,positive,train
This place is like a big high school. Nothing but drama and politics going on.,negative,train
Amazon Lux is the place to be,positive,train
Please Please Come Back Bill G.,negative,train
Great company for ambitious people,positive,train
Too big and slow,positive,train
Google ads,positive,train
Looking for a job after your internship completed? Look somewhere else. Seriously.,negative,train
Naja,negative,train
Associates,positive,train
Best place I've ever worked.,positive,train
Amazon Review,positive,train
just like any other economically successful US public company,negative,train
"Was fun at the beginning, but then they ",negative,train
Best for those just out of college with no families,negative,train
scarce,positive,train
Poor work-life balance,negative,train
Product Manager,positive,train
Good but nt tge best,positive,train
Software engineering manager,positive,train
Business Manager,positive,train
Horrible job and management is worst,negative,train
Amazon is a great company with lots of opportunity to learn different things.,positive,train
Positive,positive,train
"Great products, poor retail field leadership",negative,train
Terrible expectations of employees (we're not robots!!!),negative,train
No Pay Amazon UTX2,negative,train
Software Development Engineer 2,positive,train
Awesome,positive,train
DON'T DO IT!!!!!!!!!,negative,train
Job seeker,positive,train
Good if you are a college student....,negative,train
"Good for some people, not for me",negative,train
Sales,negative,train
operation,negative,train
Fulfillment associate,negative,train
Worst place to work,negative,train
Efficiency to the max - employee moral goes to the wayside.,negative,train
Organizational culture is challenging but new strategy will slowly change the model as innovation becomes a focus,positive,train
The real Apple,negative,train
Not the greatest,negative,train
Excellent company,positive,train
Vanity Fair was correct,negative,train
Software Engineer,positive,train
Awesome company to work in,positive,train
Not for the Weak,negative,train
Micro-managed robots,negative,train
Dreary,negative,train
The Honeymoon Period Doesn't Last Forever,negative,train
Great Company,positive,train
Program Management,positive,train
This place is great,positive,train
Digital Marketing Manager,positive,train
Area Manager,negative,train
Best Part-Time Job Ever,positive,train
"Its really not the company it was years ago, which is good and bad",negative,train
Google review,negative,train
No place to work,negative,train
"Great learning experience, but not the place for a career",positive,train
I finally got out!,negative,train
Hell on earth,negative,train
Fulfillment Associate,positive,train
amazon,positive,train
Sr Vendor Manager,negative,train
Process Associate,negative,train
Mechanical Quality Engineer,positive,train
Working on amazon is it worth it or not?,positive,train
AWS review,positive,train
Energetic Atmosphere,positive,train
Great Company,positive,train
The shadow of a former glory,negative,train
Too much overtime in the summer,positive,train
Vision of random decisions,negative,train
Good Environment,positive,train
Management needs to listen to engineers,negative,train
Glass doors in house of cards,negative,train
Logistics,negative,train
GTSC,negative,train
Over all nice experience,positive,train
Head,positive,train
"Decent pay, but sometimes a harsh environment",negative,train
Worst company Ever - workaholics,negative,train
Software Engineer,positive,train
Demanding,negative,train
amazing place to work,positive,train
Good people yet terrible managed company,negative,train
Either I like you or I don't,negative,train
Comfort zone,positive,train
Recruiting Coordinator,negative,train
Okay place to coast,negative,train
Challenging work and great rewards,positive,train
place sucks,negative,train
Would NOT recommend,negative,train
"Corrupt, Nepotistic, and too much politics",negative,train
A dream company come true!,positive,train
Dont do it,negative,train
"In the beginning I felt Honored, at the end Disappointed",negative,train
Great place to work and grow professionally,positive,train
Beware!!!!!!,negative,train
"Horrible work rules, restrictions and stress",negative,train
STAY AWAY FROM MYHABIT,negative,train
Unhappy Employees making Happy Customers,negative,train
Great minds and limitless options,positive,train
"Lots done right, lots done very wrong",positive,train
"Under the shiny exterior it's still a job, but a good one!",positive,train
Plantation,negative,train
Customer Output Specialist,negative,train
Good company,positive,train
Find employment elsewhere or simply work here as seasonal work.,negative,train
Great company to work for,positive,train
"It was fun at first, but all the promises they make come at a cost",negative,train
Nothing changed since NYT article ..,negative,train
"Great salary, bad culture.",negative,train
SDET,negative,train
Work culture,positive,train
Recruiter,positive,train
Great company to work for,positive,train
Very good working environment,positive,train
A place to work,negative,train
Product Support (Not every team is created equal),negative,train
Do not work here.,negative,train
Mission driven org,positive,train
Fun,positive,train
If you are ambitious you CAN have huge impact!!,positive,train
"Amazon is a great company if you are a customer, not so much if you happen to work there!",negative,train
A Retail Slave,negative,train
Weird Politics,negative,train
Revitalised Business Solutions Powerhouse,positive,train
Fast Pace,negative,train
A great company that has lost their way,negative,train
Average company with some benefits but no training and development at all.,negative,train
Amazon rocks,positive,train
Business Development Manager,positive,train
good company to work,positive,train
"Experiences vary across teams, but mostly very positive",positive,train
"long on time, short on pay",negative,train
Operations Manager,positive,train
"Working with great people on exciting products, very satisfied.",positive,train
Ok Starter Job,negative,train
All good stuff,positive,train
Great place for an aggressive developer,positive,train
CONTRACTS MANAGEMENT PROGRAM MANAGER,positive,train
good,positive,train
Warehouse Worker,negative,train
"Great Company, still innovates",positive,train
Awesome,positive,train
Great Company,positive,train
catalog,positive,train
cool place to work,positive,train
A good place to go burn out,negative,train
delivery driver,negative,train
Transaction Risk Investigator,positive,train
Cloud Associate,positive,train
Not bad,negative,train
Short title,positive,train
Beware the Murfreesboro Furfillment Center's HR,negative,train
"Negative experience, was picked on for being Autistic",negative,train
Great place to work,positive,train
Terrible People,negative,train
"Amazon should be ashamed! Safety is not Amazon concern, all about maintaining a Rate!",negative,train
One of the best in the bay,positive,train
Software Engineer,negative,train
Work life balance is great,positive,train
Decent place to work,negative,train
Senior SW Engineer,positive,train
At Home Advisor,positive,train
Really great company to work for!,positive,train
Google Summer of Code,positive,train
Great company to work for as long as you are in the right orgs,positive,train
Once incredible but culture is changing for the worse,positive,train
Team leader,positive,train
Good place,positive,train
Career Planning at MS,negative,train
Awesome at first,negative,train
Evangelist,negative,train
Isolated Culture Problems,positive,train
Good company to start career,negative,train
Fulfillment center experience,negative,train
Great pay nice people horrible job!!!!,negative,train
Amazon fulfillment center work environment,positive,train
Support Service,positive,train
Below expectations,positive,train
"Unlimited resources to change the world, if you want to be a cog.",positive,train
Work here is amazing!!!,positive,train
Amazon,negative,train
"DO NOT WORK FOR AMAZON!!! Terrible work environment, terrible operation managers and no sitting allowed!",negative,train
Good company to work for,positive,train
"Toxic managers, highly politically charged environment - injurious to your health!",negative,train
Senior Project Manager,negative,train
"Great retail job, the culture will destroy your soul if you engage in it",negative,train
Picker,negative,train
Not a place to grow old at.,negative,train
"Low stress, high energy",positive,train
A lot of redundant boring work.,positive,train
Software Development Engineer,positive,train
"Decide for yourself whether or not you should work here, but here's my experience...",negative,train
"Learning experience at the cost of life, health and money",negative,train
Sr. Test manager,positive,train
Apple Specialist,negative,train
superb,positive,train
customer assistant,positive,train
Great company overall,positive,train
"Excellent products, needless bureaucracy in Apple Retail, managers mislead employees about bonuses they get.",negative,train
Technical support asciate.,positive,train
You will get what you want,positive,train
Amazon,positive,train
Stower,positive,train
Account Manager,positive,train
Not worth it!,negative,train
"Great job for mindless zombies, or someone in desperate need",negative,train
Product Manager,negative,train
Massive degradation since retirement of Bill Gates,negative,train
Warehouse Ascociate,positive,train
Very good company to work for,positive,train
Unpleasant work environment,negative,train
Service Engineer,positive,train
Best job ever held,positive,train
Really solid company,positive,train
red zone specialist,positive,train
Crappy company-- doesn't treat employees fair management incompetent,negative,train
Pays well with good benefits,negative,train
Astounding autonomy given to each employee. A very strong culture and work ethic.,positive,train
Was fine,negative,train
Apple retail,negative,train
Cutthroat and Competitive,negative,train
Be ready to break safety rules,negative,train
Highly Dependent on Team and Manager,negative,train
Terrible,negative,train
Good people working on cool problems.,positive,train
amazon,positive,train
Amazon Web Services,negative,train
Senior Finance Manager,negative,train
Awesome place to work,positive,train
Be careful what you wish for,negative,train
Waited 2 months update,negative,train
Know what you're getting into,negative,train
Great place,positive,train
Best Large Tech Company Culture,positive,train
Good government job,negative,train
Pick,negative,train
Specialist,positive,train
WTF are they even doing?,negative,train
Don¡¯t,negative,train
"Little Training, uncaring management",negative,train
Never-ending work with little or no opportunity to advance.,negative,train
Not the same company it once was,negative,train
Great culture but low compensation,positive,train
Don't get stuck here.,positive,train
Great work culture but poor floor managers,positive,train
"Toll, wenn man zur Kultur des Unternehmens passt",positive,train
Dreadful place to work- slave drivers,negative,train
Device Associate,negative,train
Transaction risk investigator,positive,train
"Good pay, not great support",negative,train
Every Year the employee experience take a step backwards,negative,train
Slechte begeleiding in tijd van ziekte,negative,train
think twice,negative,train
Horrible experience,negative,train
Low - hanging fruit,negative,train
Onsite Medical Representative,positive,train
Corporate cog,negative,train
dont do it,negative,train
"Not for everyone, high stress, and company growing pains",negative,train
Customer Success Manager Review,positive,train
Very Challenging and Rewarding,positive,train
Cool place to work!,positive,train
Danger And Opportunity,negative,train
Beware the UK hiring trap,positive,train
The Dirty Little Secret..,negative,train
Amazon warehouse job,positive,train
Started out great then became a miserable environment.,negative,train
Slog culture,negative,train
Flex scheduling has made Amazon Prime Now a terrible place to work,negative,train
You can do better,negative,train
Review Title,positive,train
horrible,negative,train
Apple,negative,train
Human Resources,negative,train
Hit and Miss - depends on the group and your manager,negative,train
Warehouse worker,positive,train
Kein Schatten ohne Sonne,negative,train
Embedded Engineer,negative,train
A great place to work if you pick the right group.,positive,train
Buyer Beware,negative,train
Poor Executives and Culture in IS&T,negative,train
"I enjoyed working there, but in the end, had other opportunities to tend to.",positive,train
Ware house operations,positive,train
Worked as Transaction Risk Investigator,positive,train
Crazy but fun experience.,positive,train
"Good Work/Life Balance, Few Opportunities to Move Up",positive,train
Customer Service Manager,positive,train
Warning: Do Not Work Here,negative,train
Company full of people running around caring only about promo,negative,train
It's fun to work at Amazon !!!,positive,train
Fullfilment Associate,negative,train
ok,positive,train
Picker,negative,train
Very Bad,negative,train
"Great culture, team, technology and innovation.",positive,train
Best place to learn and grow,positive,train
ICQA,negative,train
"Great for my resume, not so great for my life",positive,train
Solution Sales Exec,positive,train
Good place to start for retail focused individuals,positive,train
meh,negative,train
Culture of this company is degrading rapidly,positive,train
Specialist,positive,train
"Awesome experience, very demanding",positive,train
life within Amazon,negative,train
Amazon Associate Outbound Pack Problem Solve,negative,train
Great company with many talented people working on an array of projects. I'd definitely work here again someday.,positive,train
Google's amazing (and big)!,positive,train
Retail is retail,positive,train
Make sure you like the role you have ... if you're lucky they'll let you keep it,negative,train
"Underpaid, Underappreciated ",negative,train
Program Manager,positive,train
Strong Company Culture - Fun Workplace,positive,train
I have a manager who is self-focused. She only manages up and this has created poor morale.,negative,train
DON¡¯T do it¡­.,negative,train
Warehouse associate,negative,train
Analyst,positive,train
"Bland, uninspired, bureaucratic",negative,train
Finance analyst,negative,train
"Ops quality engineering , supplier quality",negative,train
MODERN SLAVERY,negative,train
Awesome company,positive,train
"Toxic, competitive, unaware, conceited culture.",negative,train
growing too fast to keep up,negative,train
The work is not so ,negative,train
Good company but not for Employees,negative,train
good first job,negative,train
Human Resources Intern,positive,train
Great,positive,train
Great culture and great benefits,positive,train
Ops Manager at Amazon,positive,train
Support Engineer,positive,train
Disappointed,negative,train
Only apply if you have nothing else.,negative,train
Cut throat section,negative,train
Micromanaged and depressed,negative,train
Do it if you need the experience,negative,train
"Good company, interesting big picture, boring day-to-day",positive,train
Great place to work.,positive,train
Lots of businesses,positive,train
MSFT Operations,positive,train
It was pretty straight. not bad at all.,positive,train
"Great for Customers, garbage for employees",negative,train
Marketing Manager,negative,train
Review,positive,train
Not too bad... for retail,positive,train
Hard to move up from retail?,positive,train
Warehouse Associate,positive,train
It¡¯s been tough working there. The management is very poor and Human Resources is even worse.,negative,train
"Get in, get out",negative,train
Home grown employees are becoming a rarity,negative,train
It can be stressful.,negative,train
Cabin Fever,negative,train
"Joined with high hopes, couldn't keep up my spirit for long",negative,train
Waste,negative,train
Never again,negative,train
It is not worth it. Does not care about their employees or change for the better,negative,train
Work hard make history,negative,train
Ruined my confidence,negative,train
Amazon,positive,train
Internal Quality Control,negative,train
Order Picker,positive,train
Amazing,positive,train
"Awesome projects, great co-workers, decent work/life balance",positive,train
Very little training,negative,train
Not a career.,negative,train
"Great company, terrible manager",positive,train
"Good for your career, less so if you're a mom",negative,train
Associate,negative,train
Nice Company low pay,negative,train
I am glad i am out,negative,train
Ok job... Not long term,negative,train
No chance of progression,negative,train
Worst Company to work with,negative,train
Good opportunity for at home workers,positive,train
Good company,positive,train
A burnout company with unlimited development opportunities,positive,train
Very Poor Onboarding and Mediocre Management,negative,train
no conversion,negative,train
Good name to move elsewhere,positive,train
Stay Away,negative,train
You learn great skills but not somewhere to stay long term,negative,train
Amazon warehouse,negative,train
Ok job,negative,train
dont leave,positive,train
Good company but seems lost sometime,positive,train
Operations Area Manager,negative,train
they don't care too much about their employees,negative,train
Retail by any other name,negative,train
It truly depends on your group.,positive,train
Corporate VPs - root of all evil,negative,train
Amazon fulfillment center,positive,train
Consultant,negative,train
Employee,negative,train
Not clear transformation will succeed,negative,train
Good experience,positive,train
software engineer,positive,train
Senior Technical Support,negative,train
Full time amazon,negative,train
Avoid like fire.,negative,train
Better benefits and treatment than any company I know of,positive,train
Nothing more than an in-between job when you're trying to figure something else out,negative,train
not as good as it sounds,negative,train
Not what it's cracked up to be,negative,train
Great Place... ...for doers.,positive,train
Great company,positive,train
Good for Workoholics!,negative,train
Good work,positive,train
My Fresh Take,positive,train
Warehouse,negative,train
Business Manager,positive,train
Good Work Place Environment,positive,train
Solution sales,positive,train
"The worst company fooling its employees, exploiting them and underpaying the employees",negative,train
Sr Mgr trade compliance projects,positive,train
Good,positive,train
"Smart people, poor management",negative,train
Specialist- London,negative,train
Apple Retail: Good company if you can deal with Retail.,positive,train
Program Manager,positive,train
nice experience,positive,train
Very liberal,negative,train
Good benefits but very minimal pay for the job that is required plus more,negative,train
"Great company, coworkers, but horrible management",negative,train
Not good,negative,train
OK to,positive,train
Tired of your soul? work at microsoft,negative,train
Great company culture,positive,train
Microsoft is doomed.,negative,train
Software Developer,positive,train
warehouse associate,positive,train
Review,negative,train
Good jon,positive,train
Great,positive,train
"worked as specialist in Hong Kong Apple Store for 3.5 years,",negative,train
One Mistake You're Gone,negative,train
Hard work,positive,train
Great work Bad Management,negative,train
Management,negative,train
Finance Manager,positive,train
Not the place to be.,negative,train
Be Careful What you Sign Up for,negative,train
Great learning opportunity,positive,train
More expectations that compensation,negative,train
Business Manager,negative,train
Job life,positive,train
A corporation for entrepreneurs,positive,train
Director MCS,negative,train
Good environment to work in overall,negative,train
Warehouse Associate,positive,train
Extremely long hours. Your co-workers are only in it for themselves.,negative,train
Engineers please don't join,negative,train
Business Manager,negative,train
hard to beat,positive,train
good,positive,train
"Great company, different orgs = different experiences",positive,train
Amazing Workplace,positive,train
Good looking from the outside,negative,train
Stow associate,positive,train
Love my job,positive,train
Associate,positive,train
"Excellent HR policies, good employer",positive,train
"Good company with a lot of smart people, but difficult to make a difference.",positive,train
Lots of opportunities and challenges.,positive,train
I LOVE working at Amazon,positive,train
Loved it,positive,train
Business Specialist,negative,train
Software Development Engineer,negative,train
Great place to learn and grow,positive,train
Corporate vs. Retail are day and night,negative,train
"Excellent Learning Experience, but Retail Long-Term is Difficult",positive,train
Family Room Specialist,positive,train
Hourly,negative,train
"AWSome company, packed with amazing people and challenges",positive,train
More about managing/defending your career than driving the business,negative,train
"Worked myself sick for long hours, and they don't seem to care.",negative,train
Good place to work,positive,train
Great place to work,positive,train
For the money,positive,train
"Great Benefits, deep flaws",negative,train
I like Microsoft,positive,train
Business Development,negative,train
Oh boy,negative,train
Slave labor,negative,train
Never again,negative,train
Data Scientist,positive,train
Fulfillment associate,negative,train
my experience,negative,train
The opposite of what Apple once aimed to be.,negative,train
Genius at Birmingham Apple Retail Store,negative,train
Great place,positive,train
very disappointed,negative,train
Massive re-orgs,positive,train
This job will drive you insane...literally.,negative,train
Not too Great for being a ,negative,train
Field technician,negative,train
Aws - the biggest mistake you'll make. Trust your gut.,negative,train
Average Retail Experience,positive,train
RETAIL: 10/10 Culture - 7/10 Pay Scale,positive,train
Area manager,negative,train
Great to work for if you are looking for another job.,negative,train
Awful Place To Work,negative,train
Program management,positive,train
Dont even bother,negative,train
Great place to work,positive,train
Best job I've ever had. NY Times article totally not what I experience,positive,train
It is always fun to work with your passion,positive,train
Lot of politics in work,negative,train
Place to be,positive,train
Great company with great prospects. Make sure the category fits to your interests and career aspirations.,positive,train
Foundational experience,positive,train
Wild place to work,positive,train
I love working for apple!,positive,train
Embarrassing Management,negative,train
Inbound stower,negative,train
N/a,positive,train
great company,negative,train
Look elsewhere if you want career development options,negative,train
Catalog Operations,negative,train
Amazing,positive,train
Worst management,negative,train
SDE II,negative,train
Apple Care College Program,positive,train
Tech Gaint,positive,train
Interaction Design Intern,positive,train
Experience can be very different depending on the group,positive,train
"Was great, but is a different company now",negative,train
Very good pay. Boring work,negative,train
Some good benefits but very stressful,negative,train
OK TO WORK HERE TO MEET YOUR TEMPORARY NEEDS.,negative,train
Its an awesome company,positive,train
Best company to work for.,positive,train
Amazon IT Technical Support review,positive,train
"Willing to work hard, this is a good job for you.",positive,train
Solid company with great benefits,positive,train
Warehouse Associate,negative,train
Most Customer Centric but not Employee-Centric,negative,train
It is a very pleasant experience working for Apple.,positive,train
Turning into the Walmart of the Tech Industry,negative,train
Average job,positive,train
DONT work here. Shipping and Receiving associate - DAT-1 (Smyrna),negative,train
"Great company, experience varies by management/region",positive,train
Amazon,negative,train
Unforgettable learning experience,positive,train
It is what it is. Second job only,negative,train
Don't Expect To Grow Here,positive,train
Low pay,negative,train
Apple,positive,train
"I've been generally satisfied, but as Amazon balloons in personnel I worry.",positive,train
"Decent pay, good benefits it crappy work environment",negative,train
a very dynamic company,positive,train
Assistant Store manager,positive,train
family room specialist/ genius,negative,train
Awesome Environment,positive,train
Job at Microsoft,negative,train
"Surrounded by smart people, but way too competitive and not in a good way.",negative,train
Picker Outbound,negative,train
Went from a great place to work to an absolutely boring place to work.,negative,train
good,positive,train
great place to work,positive,train
iOS App Reviewer - don't take this job.,negative,train
Microsoft Experience,negative,train
Not as good inside as it looks outside,negative,train
Manager,positive,train
Work Review,positive,train
AWS Cloud Support,positive,train
"Not for everyone, but ok for some. Long hours, long hours, and LONG HOURS. Low flexibility. The trade off is recognition",negative,train
"Decent pay, but sometimes a harsh environment",negative,train
"Great company, but now is not the time to be in sales at Microsoft.",negative,train
Senior Program Manager,positive,train
a good starting block but difficult to progress,positive,train
Eh,negative,train
Great place to work,positive,train
Hard workers are punished not rewarded.,negative,train
Amazon Prime Now Associate,positive,train
Doesnt live up to the expectations,negative,train
Area Manager,negative,train
Unappreciative workplace,negative,train
Almost 5 years here and thankful for all of it,positive,train
Good job,positive,train
Great EMployee engagement,positive,train
Too much politics and pressure,negative,train
LCA Paralegal,positive,train
Bait and Switch,negative,train
Awful,negative,train
Place to learn,negative,train
Stay AWAY!,negative,train
Awesome Experience,positive,train
Really depends on the team. Also really annoying corporate culture at times,negative,train
"good for life, not for career",positive,train
"Hype cultural, gig economy structured business",negative,train
Warehouse Associate,positive,train
Good Pay But Don't Expect To Move Up Anytime Soon,negative,train
Amazing but with a problem with contractors,negative,train
Strange Brew,negative,train
good pay -awful management,negative,train
Then and now,negative,train
Digital associate,positive,train
10 years and still growing strong,positive,train
Producer,positive,train
Picker,negative,train
Great for settling down,positive,train
Picker,negative,train
Could be improved,negative,train
Worse company I have ever worked for...,negative,train
The best place to go to refine your skill set,positive,train
dont,negative,train
Senior Manager,positive,train
Yard driver at CVS 5,negative,train
Nothing to Shout About,negative,train
"It's great to say you work at Apple, but not great to actually work there.",negative,train
Fog,negative,train
Software Developer,positive,train
My 14 years at Microsoft,negative,train
Tier 2 At Home Advisor - job is going downhill FAST,negative,train
Great place to learn,negative,train
Account Executive,positive,train
Risk Investigator,positive,train
Not bad.,positive,train
Fast paced,negative,train
Solution Specialist,negative,train
A good place to work,positive,train
"Great place to work, but disconnected from reality.",positive,train
Business Sales,negative,train
A unique retail workspace.,positive,train
A Company In Transition,negative,train
software engineer,positive,train
Great company,positive,train
Best Place to Work,positive,train
Good for students,negative,train
PA ( supervisor ),negative,train
Great Comany,negative,train
Executive Business Administrator,negative,train
technical supervisor,negative,train
Worn out Warehouse Worker,positive,train
Sr.Program Manager,positive,train
Good company,positive,train
Awesome place to work at,positive,train
Lots of Great Experiences,positive,train
Amazing place to learn and grow!!,positive,train
Pathetic work-life balance.,negative,train
Local Data,negative,train
Started out great. Ended in disappointment,negative,train
Redmond centric dinosaurus,negative,train
UTX3 - No Opportunity for Advancement (despite qualifications),negative,train
Fantastic Company Environment,positive,train
Program Manager (non-tech),positive,train
Don't do it,negative,train
fullfillment,negative,train
"Fruitfull but kind of stagnent since last 2 yrs., no improvement in your career path",positive,train
Standard Corporate Company but with mostly Helpful management,positive,train
Account Manager,negative,train
Just an awesome place to work,positive,train
World changing company!,positive,train
Fun place to work,positive,train
Apple,negative,train
AWesome,positive,train
Ridiculously hard work (physically) for the money. Work for 4 days and then spend 3 days recovering before next shift.,positive,train
Avoid Amazon Web Services,negative,train
Learning and development specialist,positive,train
Innovative Work - No Value or Balance,negative,train
Awesome,positive,train
Love my job,positive,train
associate,negative,train
Analytics Manager,positive,train
Data Associate at Amazon Chennai,negative,train
Great 12 years overall but last two not so much,positive,train
Very good employee satisfaction,positive,train
Great company with solid vision and values,positive,train
micro managerial middle managers,negative,train
Amazing Microsoft,positive,train
Not exactly as perfect as they would have you believe,negative,train
Fulfillment Associate,negative,train
Eh,negative,train
Demanding.,negative,train
No work life balance,negative,train
Not a great place to work,negative,train
Terrible place to work,negative,train
Appreciate your employees,negative,train
overall pretty good,positive,train
warehouse associate,positive,train
Working at Amazon,positive,train
Great if you like pain,negative,train
Great place to work!,positive,train
The worst employer I have ever worked at,negative,train
Great first job,positive,train
Best Organization,positive,train
Not the best not the worst.,negative,train
Not a Diverse Company,negative,train
EA,positive,train
loved it,positive,train
Brace yourself!!!,negative,train
Horrible Old style Management politics,negative,train
Best Employee,positive,train
warehouse,negative,train
Not the company I started with,negative,train
It was really Awesome <3 Love you mark <3 <3,positive,train
Work Hard and Have Fun!,positive,train
Stay away from HWTE at all costs.,negative,train
great place,positive,train
"Great, but there are some management issues",positive,train
focuses on cost cutting,negative,train
"Great opportunity, if you like being stuck to your phone",negative,train
The most lousy place I¡¯ve ever worked for,negative,train
Best place for a geek to grow,positive,train
Extremely rewarding to work on products that make millions of users smile.,positive,train
Difficult to maintain work/life balance,positive,train
Java Developer,positive,train
AWS Sales,negative,train
great,positive,train
